identification,obj_id,obj_name,confidence,rotation,center_x,center_y,distance
63,2,switch,0.9992343187332153,-90,477,41,0.35400001681409776
64,9,batteryholder,0.9988467693328857,-80.6900634765625,380,118,0.3530000167666003
65,8,red_button,0.9980630278587341,-90,251,114,0.3510000166716054
66,4,lancable,0.9902752637863159,-90,344,15,0.35200001671910286
67,1,lcd,0.9882122874259949,-79.11447143554688,534,61,0.359000017051585
68,3,socket,0.9809466004371643,-90,406,31,0.3530000167666003
69,10,key,0.9775736331939697,-90,467,143,0.3570000169565901
70,7,blue_button,0.944883406162262,-90,230,107,0
71,6,batteryplace,0.9163834452629089,-90,257,71,0.35000001662410796
72,6,batteryplace,0.9124124646186829,-69.44395446777344,229,63,0.34800001652911305
